id;il1;in1;in2;cu1;il2;in3;in4;de1;cu2;il3;in5;de2;cu3;in6;il4;cu4;de3;de4;il5;cu5
246;2;2;1;1;4;1;1;2;1;3;3;2;1;1;3;1;2;2;3;1
247;4;2;2;1;4;1;0;1;1;4;2;1;1;1;4;1;1;1;4;1
248;3;0;0;0;4;0;0;2;1;4;1;2;2;0;4;1;2;2;3;1
249;4;0;1;0;4;0;1;1;1;3;1;0;1;1;4;1;1;0;4;1
250;4;2;2;1;4;2;3;3;1;4;3;2;1;2;4;1;2;2;3;1
251;2;3;2;1;2;3;2;3;0;2;3;2;0;3;3;0;3;4;2;0
252;3;2;1;1;3;1;1;2;1;3;1;2;1;2;3;1;2;2;3;1
253;4;1;1;2;3;1;0;2;2;3;2;1;1;1;3;1;2;1;3;1
254;2;4;3;2;3;2;0;4;2;2;0;4;1;2;2;1;4;4;2;1
255;4;2;1;1;4;1;0;3;2;4;0;3;1;0;4;1;3;2;4;1
256;3;1;0;1;4;1;1;2;2;4;2;2;2;2;4;3;2;2;4;2
257;4;1;2;0;4;4;4;2;0;4;4;2;1;4;4;2;4;4;4;1
