id;sex;edad;ec;nh;ne;esp;mp;rol;imf;cue
138;0;30;Soltero/soltera;0;Master;1;1;Educación Primaria;23000;Cuerpo de Maestros
139;1;46;Casado/casada;3;Diplomatura;1;0;Dirección;4500;Cuerpo de Maestros
140;1;37;Casado/casada;2;Diplomatura;1;0;Dirección;3500;Cuerpo de Maestros
141;0;54;Divorciado/divorciada;2;Diplomatura;1;0;Dirección;2000;Cuerpo de Maestros
142;0;31;Pareja estable;0;Master;1;0;Educación Infantil;1600;Cuerpo de Maestros
143;1;41;Divorciado/divorciada;2;Licenciatura;19;0;Secretaría;2000;Cuerpo de Maestros
144;0;43;Casado/casada;2;Master;1;1;Educación Primaria;3800;Cuerpo de Maestros
145;0;54;Casado/casada;2;Diplomatura;1;0;Jefatura de Estudios;4580;Cuerpo de Maestros
146;0;25;Convivencia en pareja;0;Doctorado;1;0;Educación Primaria;1800;Cuerpo de Maestros
147;1;42;Casado/casada;2;Diplomatura;1;0;Secretaría;4000;Cuerpo de Maestros
148;1;41;Casado/casada;0;Diplomatura;1;0;Dirección;;Cuerpo de Maestros
149;0;35;Casado/casada;0;Licenciatura;20;1;Jefatura de Estudios;;Cuerpo de Profesores de Enseñanza Secundaria
150;0;59;Casado/casada;3;Licenciatura;19;1;Educación Primaria;4500;Cuerpo de Maestros
151;0;42;Casado/casada;2;Licenciatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
152;0;27;Soltero/soltera;0;Master;1;0;Educación Primaria;;Cuerpo de Maestros
153;0;35;Soltero/soltera;0;Licenciatura;1;0;Secretaría;1800;Cuerpo de Maestros
154;0;46;Casado/casada;2;Licenciatura;8;0;Educación Secundaria;4000;Cuerpo de Profesores de Enseñanza Secundaria
155;0;38;Casado/casada;2;Licenciatura;8;0;Educación Primaria;4000;Cuerpo de Maestros
156;1;32;Casado/casada;0;Master;17;1;Secretaría;;Cuerpo de Profesores de Enseñanza Secundaria
157;0;29;Convivencia en pareja;0;Diplomatura;1;0;Dirección;2900;Cuerpo de Maestros
158;0;56;Casado/casada;2;Diplomatura;1;0;Educación Infantil;;Cuerpo de Maestros
159;1;61;Casado/casada;2;Diplomatura;1;0;Jefatura de Estudios;3000;Cuerpo de Maestros
160;0;52;Casado/casada;3;Diplomatura;1;0;Secretaría;;Cuerpo de Maestros
161;0;45;Casado/casada;4;Master;17;1;Educación Secundaria;;Cuerpo de Profesores de Enseñanza Secundaria
162;0;61;Casado/casada;3;Diplomatura;1;0;Educación Infantil;2600;Profesores de Religión (Primaria)
163;0;30;Pareja estable;0;Grado;1;0;Educación Primaria;1500;Cuerpo de Maestros
164;0;35;Convivencia en pareja;0;Grado;1;0;Educación Infantil;3000;Cuerpo de Maestros
165;0;27;Convivencia en pareja;0;Grado;1;0;Educación Primaria;2100;Cuerpo de Maestros
166;0;48;Divorciado/divorciada;2;Grado;1;0;Educación Infantil;1600;Cuerpo de Maestros
167;0;54;Soltero/soltera;0;Licenciatura;19;1;Dirección;;Cuerpo de Profesores de Enseñanza Secundaria
168;0;57;Casado/casada;2;Diplomatura;1;0;Educación Primaria;3500;Cuerpo de Maestros
169;0;31;Casado/casada;0;Master;1;0;Educación Primaria;50000;Cuerpo de Maestros
170;1;25;Soltero/soltera;0;Grado;1;0;Educación Primaria;1800;Cuerpo de Maestros
171;0;36;Casado/casada;1;Diplomatura;1;0;Educación Primaria;3200;Cuerpo de Maestros
